,Products_with_common_ingredient,The_common_ingredients
20,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria')","{'silica', 'butyl methoxydibenzoylmethane', 'geraniol', 'aqua', 'glycerin', 'tocopheryl acetate', 'citronellol', 'parfum', 'coumarin'}"
21,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria')","{'geraniol', 'aqua', 'alpha-isomethyl ionone', 'linalool', 'limonene', 'citronellol', 'propylene glycol', 'parfum', 'coumarin'}"
22,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'methylparaben', 'bht', 'geraniol', 'alpha-isomethyl ionone', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'linalool', 'dimethicone', 'glyceryl stearate', 'citronellol', 'propylene glycol', 'phenoxyethanol'}"
23,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'bht', 'aqua', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'glyceryl stearate', 'phenoxyethanol', 'parfum', 'isopropyl palmitate'}"
24,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'alpha-isomethyl ionone', 'linalool', 'dimethicone', 'parfum', 'isopropyl palmitate'}"
25,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'stearic acid', 'benzyl salicylate', 'aqua', 'alpha-isomethyl ionone', 'glycerin', 'tocopheryl acetate', 'linalool', 'dimethicone', 'glyceryl stearate', 'limonene', 'citronellol', 'phenoxyethanol', 'parfum'}"
26,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'glycerin', 'linalool', 'limonene'}"
27,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'linalool', 'dimethicone', 'citronellol', 'limonene', 'magnesium aluminum silicate', 'coumarin', 'isopropyl palmitate'}"
28,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'bht', 'aqua', 'cetyl palmitate', 'linalool', 'limonene', 'citronellol'}"
29,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'bht', 'butyl methoxydibenzoylmethane', 'geraniol', 'aqua', 'alpha-isomethyl ionone', 'glycerin', 'trisodium edta', 'glycyrrhiza glabra root extract', 'ethylhexyl methoxycinnamate', 'linalool', 'tocopheryl acetate', 'citronellol', 'propylene glycol', 'parfum', 'phenoxyethanol'}"
30,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'bht', 'aqua', 'glycerin', 'propylene glycol', 'isopropyl palmitate'}"
31,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'methylparaben', 'stearic acid', 'geraniol', 'cetyl alcohol', 'glycerin', 'myristic acid', 'tocopheryl acetate', 'dimethicone', 'glyceryl stearate', 'phenoxyethanol', 'arachidic acid', 'palmitic acid', 'oleic acid'}"
32,"('NIVEA Perfect & Radiant Body Lotion For Women - 400ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'benzyl salicylate', 'geraniol', 'aqua', 'alpha-isomethyl ionone', 'trisodium edta', 'linalool', 'magnesium aluminum silicate', 'limonene', 'citronellol', 'parfum'}"
33,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'aqua', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'phenoxyethanol', 'glyceryl stearate se', 'isopropyl palmitate'}"
34,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria')","{'trisodium edta', 'benzyl alcohol', 'bht'}"
